구절,감정
잠언 9:7 거만한 자를 징계하는 자는 도리어 능욕을 받고 악인을 책망하는 자는 도리어 흠이 잡히느니라,"좌절, 거절, 상처"
잠언 9:8 거만한 자를 책망하지 말라 그가 너를 미워할까 두려우니라 지혜 있는 자를 책망하라 그가 너를 사랑하리라,"거절, 사랑받음, 지혜"
잠언 9:9 지혜 있는 자에게 교훈을 더하라 그가 더욱 지혜로워질 것이요 의로운 사람을 가르치라 그의 학식이 더하리라,"성장, 배움, 희망"
잠언 9:10 여호와를 경외하는 것이 지혜의 근본이요 거룩하신 자를 아는 것이 명철이니라,"무지, 경외, 지혜추구"
잠언 9:11 나 지혜로 말미암아 네 날이 많아질 것이요 네 생명의 해가 네게 더하리라,"죽음의 두려움, 장수, 희망"
잠언 9:12 네가 만일 지혜로우면 그 지혜가 네게 유익할 것이나 네가 만일 거만하면 너 홀로 해를 당하리라,"교만, 결과, 책임"
잠언 9:13-14 미련한 여인이 떠들며... 성읍 높은 곳에 있는 자리에 앉아서,"미련함, 유혹, 경고"
잠언 9:15-16 자기 길을 바로 가는 행인들을 불러... 지혜 없는 자에게 이르기를,"유혹, 미혹, 경고"
잠언 9:17 도둑질한 물이 달고 몰래 먹는 떡이 맛이 있다 하는도다,"유혹, 죄의 달콤함, 속임"
잠언 9:18 오직 그 어리석은 자는 죽은 자들이 거기 있는 것과 그의 객들이 스올 깊은 곳에 있는 것을 알지 못하느니라,"무지, 죽음, 경고"
잠언 10:1 솔로몬의 잠언이라 지혜로운 아들은 아비를 기쁘게 하거니와 미련한 아들은 어미의 근심이니라,"기쁨, 슬픔, 가족관계"
잠언 10:2 불의의 재물은 무익하여도 공의는 죽음에서 건지느니라,"탐욕, 불의, 생명, 정의"
잠언 10:3 여호와께서 의인의 영혼은 주리지 않게 하시나 악인의 소욕은 물리치시느니라,"결핍, 불안, 평안, 신뢰"
잠언 10:4 손을 게으르게 놀리는 자는 가난하게 되고 손이 부지런한 자는 부하게 되느니라,"무기력함, 게으름, 희망, 부지런함"
잠언 10:5 여름에 거두는 자는 지혜로운 아들이나 추수 때에 자는 자는 부끄러움을 끼치는 아들이니라,"게으름, 수치, 지혜, 부지런함"
잠언 10:6 의인의 머리에는 복이 임하나 악인의 입은 독을 머금었느니라,"축복, 저주, 선악의 결과"
잠언 10:7 의인을 기념할 때에는 칭찬하거니와 악인의 이름은 썩게 되느니라,"명예, 수치, 기억됨"
잠언 10:8 마음이 지혜로운 자는 계명을 받거니와 입이 미련한 자는 멸망하리라,"지혜추구, 어리석음, 순종"
잠언 10:9 바른 길로 행하는 자는 걸음이 평안하려니와 굽은 길로 행하는 자는 드러나리라,"평안, 불안, 정직, 발각의 두려움"
잠언 10:10 눈짓하는 자는 근심을 끼치고 입이 미련한 자는 멸망하느니라,"기만, 근심, 파멸"
잠언 10:11 의인의 입은 생명의 샘이라도 악인의 입은 독을 머금었느니라,"생명, 죽음, 말의 능력"
잠언 10:12 미움은 다툼을 일으켜도 사랑은 모든 허물을 가리느니라,"미움, 분쟁, 사랑, 용서"
잠언 10:13 명철한 자의 입술에는 지혜가 있어도 지혜 없는 자의 등을 위하여는 채찍이 있느니라,"지혜, 어리석음, 징계"
잠언 10:14 지혜로운 자는 지식을 간직하거니와 미련한 자의 입은 멸망에 가까우니라,"지혜추구, 어리석음, 위험"
잠언 10:15 부자의 재물은 그의 견고한 성이요 가난한 자의 궁핍은 그의 멸망이니라,"빈곤, 불안, 안전감"
잠언 10:16 의인의 수고는 생명에 이르고 악인의 소득은 죄에 이르느니라,"수고, 보상, 죄의 결과"
잠언 10:17 훈계를 지키는 자는 생명 길로 행하여도 징계를 버리는 자는 그릇 가느니라,"순종, 거역, 생명, 방황"
잠언 10:18 미움을 감추는 자는 거짓된 입술을 가진 자요 중상하는 자는 미련한 자이니라,"미움, 거짓, 중상"
잠언 10:19 말이 많으면 허물을 면하기 어려우나 그 입술을 제어하는 자는 지혜가 있느니라,"다언, 절제, 지혜"
잠언 10:20 의인의 혀는 순은과 같거니와 악인의 마음은 가치가 적으니라,"말의 가치, 선악의 차이"
잠언 10:21 의인의 입술은 여러 사람을 교육하나 미련한 자는 지식이 없어 죽느니라,"가르침, 무지, 생명과 죽음"
잠언 10:22 여호와께서 주시는 복은 사람을 부하게 하고 근심을 겸하여 주지 아니하시느니라,"복, 부, 평안, 근심없음"
잠언 10:23 미련한 자는 행악으로 낙을 삼는 것 같이 명철한 자는 지혜로 낙을 삼느니라,"악한 기쁨, 선한 기쁨"
잠언 10:24 악인에게는 그의 두려워하는 것이 임하거니와 의인은 그 원하는 것이 이루어지느니라,"두려움, 소망, 성취"
잠언 10:25 회오리바람이 지나가면 악인은 없어져도 의인은 영원한 기초 같으니라,"불안정, 영원함, 견고함"
잠언 10:26 게으른 자는 그 부리는 사람에게 마치 이에 식초 같고 눈에 연기 같으니라,"게으름, 짜증, 불편함"
잠언 10:27 여호와를 경외하면 장수하느니라 그러나 악인의 수명은 짧아지느니라,"생명, 죽음, 경외함"
잠언 10:28 의인의 소망은 즐거움을 이루어도 악인의 소망은 끊어지느니라,"희망, 절망, 기쁨"
잠언 10:29 여호와의 도가 정직한 자에게는 산성이요 행악하는 자에게는 멸망이니라,"보호, 파멸, 정직"
잠언 10:30 의인은 영영히 이동되지 아니하여도 악인은 땅에 거하지 못하게 되느니라,"안정, 불안정, 영원함"
잠언 10:31 의인의 입은 지혜를 내어도 패역한 혀는 베임을 당할 것이니라,"지혜, 패역, 심판"
잠언 10:32 의인의 입술은 기쁘게 할 것을 알거늘 악인의 입은 패역을 말하느니라,"기쁨, 패역, 말의 영향"
